V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,hispanic_pop_1,trump_approval,pid,pid_TEXT,gender,Q6,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,"Hi there, this is Logan and I've wrote this survey for a class at UC Davis. My professor asked me...","We hear a lot of talk these days about undocumented immigration. Using the sliding scale, give yo...-Percent Undocumented",Do you approve or disapprove of the way President Trump is handling his job as President?,"When it comes to your party affiliation, which political party do you most closely identify with?","When it comes to your party affiliation, which political party do you most closely identify with?-TEXT",Which gender do you most closely identify with?,Thank you again for taking this survey! Your participation is very much appreciated. Your respons...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_xtHTcbWM7Ye6cOB,Default Response Set,Anonymous,,,,1,2018-01-20 00:28:21,2018-01-20 00:29:10,1,1,5,4,1,,1,1,37.670303344727,-121.01689910889,-1,
R_1d5Ba58nzYNDqjp,Default Response Set,Anonymous,,,,1,2018-01-20 00:33:38,2018-01-20 00:34:25,1,1,17,4,1,,1,1,37.670303344727,-121.01689910889,-1,
R_1IgGwUFR5Fxoj9n,Default Response Set,Anonymous,,,107.77.213.156,0,2018-01-22 16:43:40,2018-01-22 16:45:04,1,1,65,4,1,,2,1,37.718597412109,-121.91639709473,-1,
R_1DvtFXO2NQauil6,Default Response Set,Anonymous,,,168.150.120.65,0,2018-01-22 16:51:37,2018-01-22 16:52:34,1,1,14,4,3,,2,1,38.482894897461,-121.63980102539,-1,
R_3DpQnTV5HFPqqh7,Default Response Set,Anonymous,,,107.77.211.81,0,2018-01-22 17:00:27,2018-01-22 17:01:46,1,1,5,3,3,,1,1,37.662399291992,-121.87469482422,-1,
R_1K2LAsP8UFPhA2D,Default Response Set,Anonymous,,,169.236.78.22,0,2018-01-22 17:02:24,2018-01-22 17:03:50,1,1,28,5,1,,2,1,37.411499023438,-120.50389862061,-1,
R_24LUQuq6MIYvsaz,Default Response Set,Anonymous,,,99.100.22.246,0,2018-01-22 17:14:56,2018-01-22 17:15:58,1,1,3,5,1,,1,1,37.678298950195,-120.95010375977,-1,
R_vYy3MfbDvMdBvoJ,Default Response Set,Anonymous,,,99.100.22.246,0,2018-01-22 17:16:52,2018-01-22 17:18:42,1,1,69,1,4,No nothing ,3,1,37.678298950195,-120.95010375977,-1,
R_yZLGpn6jGtAn7i1,Default Response Set,Anonymous,,,136.152.143.32,0,2018-01-22 18:31:13,2018-01-22 18:33:37,0,1,35,5,1,,2,,,,-1,
