price,estimate,bdrms,bathrms,sqrft,lotsize,age,pool,central
670000,664000,4,3,1927,8398,62,0,1
1660000,1730000,4,3.5,4008,15246,12,0,0
969000,978100,5,3,3176,7845,18,0,0
950000,956000,4,2.5,2854,7518,17,0,0
805000,798400,4,3,2435,9439,46,0,0
869000,865700,4,3,2211,6543,20,0,0
545000,537900,2,2,1105,3951,31,0,0
689000,678500,3,2,1296,7954,61,0,1
759000,756100,4,2.5,2093,6660,45,0,0
615000,608100,3,2,1947,5550,40,0,0
695000,648500,2,1,1230,5663,88,0,1
565000,459000,3,1,960,6190,41,0,0
610000,597200,3,2,1725,7370,45,0,0
765000,685100,4,3,2004,5998,53,1,0
792000,802300,3,2.5,2266,8712,42,1,0
710000,646800,4,3,1775,5454,19,0,0
895000,913200,5,3,2816,7150,24,1,0
676500,659000,3,2,1815,8215,54,1,0
930000,945200,4,2.5,2221,10459,21,0,0
767500,758900,4,2,1755,7170,52,0,1
645000,601500,3,2,1352,7200,47,0,0
808350,803300,4,3,2413,7004,29,0,0
478000,465200,3,2,1420,5998,59,0,0
1060000,1072800,3,3.5,3060,12197,67,0,1
725000,710100,3,2,1772,8886,55,0,1
930000,991000,5,3,3208,20038,44,0,0
1100000,1129500,4,3,2964,14515,44,1,0
716500,666300,3,2,1352,7148,57,0,1
611500,566000,3,2,1199,8466,48,0,0
780000,754900,4,3,2025,7349,42,0,0
750000,655700,4,2,1763,8276,25,0,0
485000,511600,3,2,1208,4700,39,0,0
682000,694400,3,2.5,1751,2614,6,0,0
623500,632300,3,2,1652,5663,24,0,0
710000,683800,3,2,1437,9374,58,0,1
603000,572500,3,2,1235,3977,18,0,0
456000,452500,2,1,946,3925,41,0,0
819900,751400,3,3,2290,13095,54,0,0
775000,867400,5,3,2534,9200,47,0,0
590000,520100,3,2,1128,5502,54,0,0
635000,551000,3,2,1317,9744,44,0,0
626000,589400,4,2,1535,5663,18,0,0
1350000,1674400,5,4.5,5407,19166,33,1,0
915888,923400,4,2.5,2740,7841,18,0,0
