kmedian,parmedian,public,private,ivyplus,otherelite,hselective,selective,northeast,midwest,west,pctfemale,pctkmarried
40100,101000,0,1,0,0,0,1,0,0,0,55.961841,71.257001
32500,66000,1,0,0,0,0,1,0,0,0,44.160941,58.075023
27400,92300,0,0,0,0,0,0,0,0,1,41.42569,34.508148
34100,67200,1,0,0,0,0,1,0,0,1,50.084746,56.966305
50700,96300,0,1,0,0,0,1,1,0,0,71.840209,54.553699
40300,88500,0,1,0,0,0,1,0,1,0,55.478501,65.137172
39200,62900,0,1,0,0,0,0,0,0,0,76.348549,53.837162
38900,97200,0,1,0,0,1,0,0,0,0,99.695122,50.208014
32900,44500,1,0,0,0,0,1,0,0,0,51.395267,23.482969
115800,95800,0,1,0,0,0,0,1,0,0,59.689921,74.353045
31900,43800,1,0,0,0,0,1,0,0,0,63.595647,21.053372
48900,120700,0,1,0,0,0,1,0,1,0,56.407034,67.621833
47300,89000,0,1,0,0,0,1,1,0,0,59.023356,58.927262
37800,59500,0,1,0,0,0,1,0,0,0,63.22751,66.366309
44600,90800,0,1,0,0,0,1,1,0,0,52.639294,60.422957
52500,102800,0,1,0,0,0,1,1,0,0,50.517839,62.554431
48000,98200,0,1,0,0,0,1,0,1,0,56.097561,71.877366
41800,84300,0,1,0,0,0,1,1,0,0,62.440568,56.393397
33200,65600,0,1,0,0,0,1,0,1,0,99.792963,43.997833
38700,66000,0,1,0,0,0,0,0,1,0,71.465629,68.425125
22100,44700,0,0,0,0,0,0,0,1,0,58.985066,36.369017
41900,68700,0,1,0,0,0,1,1,0,0,50.483561,42.280263
26000,88800,0,1,0,0,0,0,1,0,0,65.619224,36.969981
17800,38300,0,0,0,0,0,0,0,0,0,81.465137,36.971423
59100,135700,0,1,0,0,1,0,0,0,0,63.553941,52.136064
69300,181300,0,1,0,1,0,0,1,0,0,48.417452,55.561686
34900,88400,0,1,0,0,0,1,0,1,0,57.652301,70.850742
32600,75900,0,1,0,0,0,0,0,0,0,62.037039,68.392432
37200,73900,0,1,0,0,0,1,0,1,0,52.664977,59.48481
38500,68400,1,0,0,0,0,1,0,0,0,55.321103,63.84185
40700,90400,0,1,0,0,0,1,1,0,0,69.125682,59.595132
23100,41100,0,0,0,0,0,0,0,0,1,68.039256,34.7478
39100,105900,1,0,0,0,0,1,0,0,0,52.059871,65.15426
39300,94800,0,1,0,0,0,1,0,1,0,64.645308,65.815198
44900,92200,0,1,0,0,0,1,1,0,0,74.433655,60.099971
29700,84000,0,0,0,0,0,0,0,0,1,92.997199,57.72028
46300,110700,1,0,0,0,0,1,0,0,1,55.421919,57.21252
34500,60800,1,0,0,0,0,1,0,0,0,57.444632,60.616404
35100,63200,1,0,0,0,0,1,0,0,0,49.526814,64.712572
34600,76000,1,0,0,0,0,1,0,0,0,64.19816,53.932971
42800,84800,0,1,0,0,0,0,0,0,1,38.812786,34.515694
29600,74200,0,0,0,0,0,0,0,0,1,39.528963,40.110242
25700,55400,0,0,0,0,0,0,0,0,0,42.75775,34.093061
30300,58000,0,0,0,0,0,0,0,0,0,36.325851,37.300768
27900,68000,0,0,0,0,0,0,1,0,0,41.170636,33.839619
32300,73600,0,0,0,0,0,0,0,0,0,35.669783,43.267283
26100,63800,0,0,0,0,0,0,1,0,0,37.394604,39.854708
25200,78400,0,0,0,0,0,0,0,0,1,51.477832,43.75324
29000,78700,0,0,0,0,0,0,0,0,1,45.168939,42.868152
30800,74500,0,0,0,0,0,0,1,0,0,55.154639,52.949655
33400,77200,0,0,0,0,0,0,0,1,0,39.495799,46.412954
33800,91700,0,1,0,0,0,1,0,0,0,56.226414,80.919522
39200,84600,0,1,0,0,0,1,0,1,0,60.69364,68.920964
57500,120100,0,1,0,0,0,1,1,0,0,60.139859,67.169541
23800,38900,1,0,0,0,0,1,0,0,0,57.746476,16.023026
47300,123200,1,0,0,0,0,1,0,0,0,50.273508,68.94269
35400,73600,1,0,0,0,0,1,0,0,0,61.197007,50.983292
