hispanic_pop_1,trump_approval,pid,pid_TEXT,gender
16,5,1,,2
18,5,1,,2
8,5,3,,1
13,1,4,Fascist ,1
11,5,1,,2
21,5,1,,2
9,5,1,,2
69,1,4,Anarchy ,3
44,5,1,,1
40,5,4,Independent ,2
25,4,1,,2
15,5,3,,2
25,2,2,,1
32,5,1,,1
17,4,3,,2
33,5,3,,2
37,5,1,,2
21,5,1,,2
15,5,3,,2
61,2,2,,1
9,5,1,,1
20,5,1,,1
40,2,4,Independent ,2
75,5,1,,1
6,4,1,,1
11,4,3,,1
38,5,1,,2
40,5,3,,2
25,4,4,Independent ,1
41,4,1,,1
40,5,1,,2
10,5,3,,1
25,2,4,libertarian,2
5,3,3,,2
18,4,1,,2
20,3,3,,2
10,5,1,,1
15,5,1,,2
30,5,1,,2
30,5,3,,1
,,,,
25,5,1,,2
51,5,1,,2
23,5,1,,2
52,5,1,,2
17,5,1,,2
65,5,1,,2
50,5,1,,2
24,5,1,,2
28,4,1,,2
9,4,1,,1
35,5,3,,1
45,5,3,,3
10,5,1,,2
65,5,3,,2
50,5,3,,1
10,5,3,,2
13,5,1,,1
6,5,1,,2
50,5,1,,2
3,5,1,,2
72,5,1,,2
75,5,3,,2
5,5,1,,2
74,5,1,,2
48,3,2,,2
82,3,2,,2
28,5,1,,2
76,5,3,,2
22,5,3,,2
44,4,3,,2
50,3,3,,2
16,5,1,,1
6,5,3,,1
27,5,1,,1
10,5,1,,2
17,4,3,,2
13,4,3,,1
40,4,1,,2
,1,2,,2
10,2,4,Independents ,2
3,5,1,,1
5,5,3,,1
1,5,1,,2
3,5,4,Independent,2
5,5,1,,2
1,5,1,,1
17,5,1,,2
50,5,1,,2
15,5,1,,2
10,5,1,,1
3,5,1,,1
4,5,3,,1
2,5,1,,1
10,5,1,,2
2,5,1,,1
20,5,4,,1
25,5,1,,2
33,5,1,,1
1,5,1,,1
17,5,1,,2
3,5,1,,1
5,5,1,,1
4,5,1,,2
16,5,4,Green,2
9,5,1,,2
60,5,1,,2
10,5,1,,2
7,5,3,,2
5,5,1,,1
36,5,1,,2
13,2,2,,1
32,5,3,,1
3,5,1,,2
10,3,4,,1
4,5,1,,2
3,5,1,,1
11,5,1,,2
27,5,1,,2
32,5,3,,2
16,5,1,,2
4,5,1,,2
10,5,1,,2
5,5,3,,2
6,4,1,,2
10,5,1,,2
26,5,1,,2
13,5,1,,2
10,5,1,,2
5,5,1,,2
10,5,1,,2
10,5,3,,2
5,5,1,,1
5,5,1,,2
5,5,4,Green,1
29,5,1,,1
20,4,2,,1
20,5,1,,1
12,5,1,,2
45,5,1,,2
5,5,1,,2
6,5,3,,2
10,5,3,,1
10,5,1,,2
30,5,1,,2
4,5,3,,1
0,5,1,,2
15,5,3,,2
2,5,3,,3
15,5,1,,1
11,5,1,,1
26,5,3,,2
5,5,1,,2
10,5,1,,2
20,5,1,,2
6,5,1,,1
,,,,
,,,,
53,5,1,,2
,,,,
13,5,4,Independent but voted Democrat in 2016,2
,,,,
20,5,3,,3
2,5,4,,1
99,5,1,,2
26,5,1,,2
50,5,1,,2
,,,,
25,5,1,,1
45,5,1,,2
25,5,1,,1
36,3,2,,1
39,5,1,,2
63,4,1,,1
38,5,1,,1
23,3,1,,1
100,3,1,,1
40,5,1,,2
20,3,3,,1
26,5,1,,2
70,5,1,,2
41,4,3,,1
40,5,1,,1
4,4,3,,1
4,4,4,Charles Litao,1
6,4,1,,1
55,5,1,,1
74,5,3,,2
100,1,4,Phi Psi,3
10,2,2,,1
35,5,3,,1
,,,,
,,,,
,,,,
13,3,4,independent ,1
25,2,3,,1
80,2,2,,1
