Y,K,L
585124.75,2429822.5,5.938806534
30816.7168,112792.8281,0.88367933
869134.75,2148250.75,18.09844971
1017429.375,3944975.5,11.96683979
4029.591553,15839.53027,0.123747721
490229.7813,2300616,4.899380684
125746.5313,312399.375,3.571340084
63506.14453,121037.0156,4.961089134
3064498.75,13655093,105.9086151
8983.257813,42922.21484,0.190329
192766.875,338924.4688,4.499247074
1507209,6097224.5,18.8280735
480110.6563,1907268.125,5.014417171
383341.4688,1166427.75,7.793041229
17080304,69379696,798.3677979
602141.875,1876453.125,24.56189537
67490.32813,162804.9219,2.339190006
25243.19336,131595.7656,0.288066268
335850.0625,1733171.125,5.068440437
3706587.25,15146735,42.45352936
253681.0938,1079511.125,2.806679726
130188.6484,433194.9375,4.223328114
174424.625,614165.8125,6.12988472
1566549.125,8438931,17.61268806
221382.4844,1003242.063,2.598491669
2602646.25,12076728,27.25352859
2588790.5,11811327,30.96204567
285915.3125,2004816.375,3.987721205
109715.6016,292397.5313,5.01128912
35219.23828,123703.2813,3.381201029
92245.60938,411750.8438,1.499366403
16517.28906,130775.9453,4.284435749
254734.1719,1065811.75,4.15802002
2469896.25,13456787,113.023941
227991.9375,991600.875,1.851950288
264146.9063,795840.4375,3.927196264
6766623,22491836,510.2787781
14034.1123,59350.67969,0.183253154
2140824.25,13027931,23.58444405
20734.01953,135654.8906,1.072340488
4483260.5,18236474,64.98536682
45914.92969,93239.82031,8.977516174
1757809.625,6839375,26.13966751
1848.785522,7987.611328,0.079438403
1987687.875,6677512,51.41257477
692472.0625,1937424.375,13.76861
26778.78125,90246.84375,2.525144815
796837.125,3507223.25,8.742557526
330882.4688,1294501.25,2.748095036
61233.76953,191709.1406,15.06411552
156149,459617.125,2.36486125
76196.70313,201345.0313,1.74871695
340495.5625,919235.25,14.72697067
660118.8125,2084501.125,34.94642639
859643.6875,1520952.375,55.48697281
971524.875,2073986.875,15.83779049
296220.4375,1937154.75,4.341347218
409095.6563,1631990.25,7.832633018
95797.74219,397305.6875,1.874231935
3447919.25,7706619.5,71.89483643
1483327.5,5334287,11.46188354
432748,1774148,4.751581192
399684.5,1607120.25,3.402383089
62989.50781,338292.25,0.966929555
155140.6719,522355.8438,2.194892168
47903.34375,107174.8203,2.597072124
945941.5,3705160.75,38.89330673
1491256.625,4605440.5,24.6474762
42254.32422,195334.1094,0.691227615
1038770.813,3412746,11.17216396
465087.375,1586455.75,18.36319351
16704698,52849892,148.4633942
69742.91406,259771.1875,1.657306314
